127.0.0.1 - - [02/Apr/2018:17:22:52 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Apr/2018:17:23:14 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [02/Apr/2018:17:23:23 +0800] "GET /o2o/shopadmin/shoplist HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Apr/2018:17:23:24 +0800] "GET /o2o/shopadmin/shoplist HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [02/Apr/2018:17:23:24 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [02/Apr/2018:17:23:24 +0800] "GET /o2o/local/login?usertype=2 HTTP/1.1" 200 2988
0:0:0:0:0:0:0:1 - - [02/Apr/2018:17:23:24 +0800] "GET /o2o/resources/js/common/common.js HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [02/Apr/2018:17:23:24 +0800] "GET /o2o/resources/css/paging.css HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [02/Apr/2018:17:23:24 +0800] "GET /o2o/resources/img/%E8%BF%94%E5%9B%9E.svg HTTP/1.1" 200 2191
0:0:0:0:0:0:0:1 - - [02/Apr/2018:17:23:24 +0800] "GET /o2o/resources/js/local/login.js HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [02/Apr/2018:17:23:25 +0800] "GET /o2o/Kaptcha HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [02/Apr/2018:17:23:28 +0800] "POST /o2o/local/logincheck HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [02/Apr/2018:17:23:30 +0800] "GET /o2o/shopadmin/shoplist HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [02/Apr/2018:17:23:30 +0800] "GET /o2o/resources/js/local/logout.js HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [02/Apr/2018:17:23:30 +0800] "GET /o2o/resources/js/shop/shoplist.js HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [02/Apr/2018:17:23:30 +0800] "GET /o2o/shopadmin/getshoplist HTTP/1.1" 200 13559
0:0:0:0:0:0:0:1 - - [02/Apr/2018:17:23:42 +0800] "GET /o2o/shopadmin/shopmanage?shopId=20 HTTP/1.1" 200 2189
0:0:0:0:0:0:0:1 - - [02/Apr/2018:17:23:42 +0800] "GET /o2o/resources/js/shop/shopmanage.js HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [02/Apr/2018:17:23:42 +0800] "GET /o2o/shopadmin/getshopmanagementinfo?shopId=20 HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [02/Apr/2018:17:23:44 +0800] "GET /o2o/shopadmin/productmanage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Apr/2018:17:23:44 +0800] "GET /o2o/shopadmin/productmanage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Apr/2018:17:23:47 +0800] "GET /o2o/shopadmin/productcategorymanage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Apr/2018:17:23:47 +0800] "GET /o2o/shopadmin/productcategorymanage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Apr/2018:17:40:34 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
